"2020-00-06","5;37","5:47","7:06","13:05","16:26","19:00","20;13"
"2017-06-07","5:32","5:42","7:03","13:20","16:45","19:32","20:47"
"2017-06-08","5:32","5:42","7:04","13:20","16:46","19:32","20:48"
"2017-06-09","5:32","5:42","7:04","13:20","16:46","19:32","20:48"
"2017-06-10","5:32","5:42","7:04","13:20","16:46","19:32","20:48"
"2017-06-11","5:32","5:42","7:04","13:20","16:47","19:32","20:48"
"2017-06-12","5:32","5:42","7:04","13:21","16:47","19:33","20:49"
"2017-06-13","5:32","5:42","7:04","13:21","16:47","19:33","20:49"
"2017-06-14","5:32","5:42","7:05","13:21","16:47","19:33","20:49"
"2017-06-15","5:33","5:43","7:05","13:21","16:48","19:33","20:49"
"2017-06-16","5:33","5:43","7:05","13:22","16:48","19:34","20:50"
"2017-06-17","5:33","5:43","7:05","13:22","16:48","19:34","20:50"
"2017-06-18","5:33","5:43","7:05","13:22","16:48","19:34","20:50"
"2017-06-19","5:33","5:43","7:06","13:22","16:49","19:34","20:50"
"2017-06-20","5:34","5:44","7:06","13:22","16:49","19:35","20:51"
"2017-06-21","5:34","5:44","7:06","13:23","16:49","19:35","20:51"
"2017-06-22","5:34","5:44","7:06","13:23","16:49","19:35","20:51"
"2017-06-23","5:34","5:44","7:06","13:23","16:49","19:35","20:51"
"2017-06-24","5:34","5:44","7:07","13:23","16:50","19:35","20:52"
"2017-06-25","5:35","5:45","7:07","13:23","16:50","19:36","20:52"
"2017-06-26","5:35","5:45","7:07","13:24","16:50","19:36","20:52"
"2017-06-27","5:35","5:45","7:07","13:24","16:50","19:36","20:52"
"2017-06-28","5:36","5:46","7:08","13:24","16:50","19:36","20:52"
"2017-06-29","5:36","5:46","7:08","13:24","16:51","19:36","20:52"
"2017-06-30","5:36","5:46","7:08","13:25","16:51","19:37","20:52"
"2017-07-01","5:36","5:46","7:08","13:25","16:51","19:37","20:53"
"2017-07-02","5:37","5:47","7:09","13:25","16:51","19:37","20:53"
"2017-07-03","5:37","5:47","7:09","13:25","16:51","19:37","20:53"
"2017-07-04","5:37","5:47","7:09","13:25","16:51","19:37","20:53"
"2017-07-05","5:37","5:47","7:09","13:25","16:51","19:37","20:53"
"2017-07-06","5:38","5:48","7:09","13:26","16:51","19:37","20:53"
"2017-07-07","5:38","5:48","7:10","13:26","16:51","19:37","20:53"
"2017-07-08","5:38","5:48","7:10","13:26","16:51","19:38","20:53"
"2017-07-09","5:39","5:49","7:10","13:26","16:51","19:38","20:53"
"2017-07-10","5:39","5:49","7:10","13:26","16:51","19:38","20:53"
"2017-07-11","5:39","5:49","7:10","13:26","16:51","19:38","20:53"
"2017-07-12","5:39","5:49","7:11","13:26","16:51","19:38","20:53"
"2017-07-13","5:40","5:50","7:11","13:27","16:51","19:38","20:53"
"2017-07-14","5:40","5:50","7:11","13:27","16:51","19:38","20:53"
"2017-07-15","5:40","5:50","7:11","13:27","16:51","19:38","20:53"
"2017-07-16","5:41","5:51","7:11","13:27","16:51","19:38","20:53"
"2017-07-17","5:41","5:51","7:11","13:27","16:51","19:38","20:53"
"2017-07-18","5:41","5:51","7:12","13:27","16:51","19:38","20:53"
"2017-07-19","5:41","5:51","7:12","13:27","16:51","19:38","20:53"
"2017-07-20","5:42","5:52","7:12","13:27","16:51","19:38","20:52"
"2017-07-21","5:42","5:52","7:12","13:27","16:51","19:38","20:52"
"2017-07-22","5:42","5:52","7:12","13:27","16:50","19:38","20:52"
"2017-07-23","5:42","5:52","7:12","13:27","16:50","19:38","20:52"
"2017-07-24","5:43","5:53","7:12","13:27","16:50","19:38","20:52"
"2017-07-25","5:43","5:53","7:13","13:27","16:50","19:38","20:52"
"2017-07-26","5:43","5:53","7:13","13:27","16:49","19:38","20:51"
"2017-07-27","5:43","5:53","7:13","13:27","16:49","19:37","20:51"
"2017-07-28","5:43","5:53","7:13","13:27","16:49","19:37","20:51"
"2017-07-29","5:44","5:54","7:13","13:27","16:49","19:37","20:51"
"2017-07-30","5:44","5:54","7:13","13:27","16:48","19:37","20:50"
"2017-07-31","5:44","5:54","7:13","13:27","16:48","19:37","20:50"
"2017-08-01","5:44","5:54","7:13","13:27","16:48","19:37","20:50"
"2017-08-02","5:44","5:54","7:13","13:27","16:47","19:37","20:49"
"2017-08-03","5:45","5:55","7:13","13:27","16:47","19:36","20:49"
"2017-08-04","5:45","5:55","7:13","13:27","16:46","19:36","20:49"
"2017-08-05","5:45","5:55","7:13","13:27","16:46","19:36","20:49"
"2017-08-06","5:45","5:55","7:13","13:27","16:45","19:36","20:48"
"2017-08-07","5:45","5:55","7:13","13:27","16:45","19:35","20:48"
